id,count,unique_hashes,all_identical,created_list,updated_list,revisions,titles
3309408,2,1,True,2019-07-10T20:03:43.717840+00:00|2019-07-10T20:03:43.717840+00:00,2020-09-28T16:59:48.574230+00:00|2020-09-28T16:59:48.574230+00:00,8|8,Binary black-hole simulation SXS:BBH:1863 | Binary black-hole simulation SXS:BBH:1863
3309425,2,1,True,2019-07-10T20:04:26.442542+00:00|2019-07-10T20:04:26.442542+00:00,2020-09-28T17:00:34.619787+00:00|2020-09-28T17:00:34.619787+00:00,8|8,Binary black-hole simulation SXS:BBH:1746 | Binary black-hole simulation SXS:BBH:1746
3309442,2,1,True,2019-07-10T20:05:09.136388+00:00|2019-07-10T20:05:09.136388+00:00,2020-09-28T17:00:31.078532+00:00|2020-09-28T17:00:31.078532+00:00,8|8,Binary black-hole simulation SXS:BBH:1952 | Binary black-hole simulation SXS:BBH:1952
3309469,2,1,True,2019-07-10T20:06:11.416171+00:00|2019-07-10T20:06:11.416171+00:00,2020-09-28T17:00:27.634578+00:00|2020-09-28T17:00:27.634578+00:00,8|8,Binary black-hole simulation SXS:BBH:1743 | Binary black-hole simulation SXS:BBH:1743
3309496,2,1,True,2019-07-10T20:07:15.174087+00:00|2019-07-10T20:07:15.174087+00:00,2020-09-28T17:00:23.930166+00:00|2020-09-28T17:00:23.930166+00:00,8|8,Binary black-hole simulation SXS:BBH:1610 | Binary black-hole simulation SXS:BBH:1610
3309515,2,1,True,2019-07-10T20:07:58.544299+00:00|2019-07-10T20:07:58.544299+00:00,2020-09-28T17:00:20.281160+00:00|2020-09-28T17:00:20.281160+00:00,8|8,Binary black-hole simulation SXS:BBH:1579 | Binary black-hole simulation SXS:BBH:1579
3309532,2,1,True,2019-07-10T20:08:35.845602+00:00|2019-07-10T20:08:35.845602+00:00,2020-09-28T17:00:16.800175+00:00|2020-09-28T17:00:16.800175+00:00,8|8,Binary black-hole simulation SXS:BBH:1817 | Binary black-hole simulation SXS:BBH:1817
3309549,2,1,True,2019-07-10T20:09:18.374975+00:00|2019-07-10T20:09:18.374975+00:00,2020-09-28T17:01:14.912040+00:00|2020-09-28T17:01:14.912040+00:00,8|8,Binary black-hole simulation SXS:BBH:1768 | Binary black-hole simulation SXS:BBH:1768
3309568,2,1,True,2019-07-10T20:09:58.224576+00:00|2019-07-10T20:09:58.224576+00:00,2020-09-28T17:01:11.210932+00:00|2020-09-28T17:01:11.210932+00:00,8|8,Binary black-hole simulation SXS:BBH:1696 | Binary black-hole simulation SXS:BBH:1696
3309585,2,1,True,2019-07-10T20:10:38.348803+00:00|2019-07-10T20:10:38.348803+00:00,2020-09-28T17:01:07.596592+00:00|2020-09-28T17:01:07.596592+00:00,8|8,Binary black-hole simulation SXS:BBH:1523 | Binary black-hole simulation SXS:BBH:1523
3309600,2,1,True,2019-07-10T20:11:13.641759+00:00|2019-07-10T20:11:13.641759+00:00,2020-09-28T17:01:03.975538+00:00|2020-09-28T17:01:03.975538+00:00,8|8,Binary black-hole simulation SXS:BBH:2061 | Binary black-hole simulation SXS:BBH:2061
3309619,2,1,True,2019-07-10T20:11:55.472087+00:00|2019-07-10T20:11:55.472087+00:00,2020-09-28T17:01:00.405685+00:00|2020-09-28T17:01:00.405685+00:00,8|8,Binary black-hole simulation SXS:BBH:1845 | Binary black-hole simulation SXS:BBH:1845
3309634,2,1,True,2019-07-10T20:12:31.349474+00:00|2019-07-10T20:12:31.349474+00:00,2020-09-28T17:01:51.891765+00:00|2020-09-28T17:01:51.891765+00:00,8|8,Binary black-hole simulation SXS:BBH:1759 | Binary black-hole simulation SXS:BBH:1759
3309651,2,1,True,2019-07-10T20:13:09.841430+00:00|2019-07-10T20:13:09.841430+00:00,2020-09-28T17:01:47.729332+00:00|2020-09-28T17:01:47.729332+00:00,8|8,Binary black-hole simulation SXS:BBH:1820 | Binary black-hole simulation SXS:BBH:1820
3309659,2,1,True,2019-07-10T20:13:49.176256+00:00|2019-07-10T20:13:49.176256+00:00,2020-01-24T19:22:57.908958+00:00|2020-01-24T19:22:57.908958+00:00,4|4,Test dataset | Test dataset
3309680,2,1,True,2019-07-10T20:14:04.242740+00:00|2019-07-10T20:14:04.242740+00:00,2020-09-28T17:01:43.951283+00:00|2020-09-28T17:01:43.951283+00:00,8|8,Binary black-hole simulation SXS:BBH:2016 | Binary black-hole simulation SXS:BBH:2016
3309693,2,1,True,2019-07-10T20:14:33.148530+00:00|2019-07-10T20:14:33.148530+00:00,2020-09-28T17:01:40.358014+00:00|2020-09-28T17:01:40.358014+00:00,8|8,Binary black-hole simulation SXS:BBH:1980 | Binary black-hole simulation SXS:BBH:1980
3309706,2,1,True,2019-07-10T20:15:06.652351+00:00|2019-07-10T20:15:06.652351+00:00,2020-09-28T17:01:36.923233+00:00|2020-09-28T17:01:36.923233+00:00,8|8,Binary black-hole simulation SXS:BBH:1540 | Binary black-hole simulation SXS:BBH:1540
3309721,2,1,True,2019-07-10T20:15:42.710275+00:00|2019-07-10T20:15:42.710275+00:00,2020-09-28T16:59:45.146267+00:00|2020-09-28T16:59:45.146267+00:00,8|8,Binary black-hole simulation SXS:BBH:2054 | Binary black-hole simulation SXS:BBH:2054
